שם ספר,TextSource,נתיב,RavMechaber,ForcedBookName,MixedDisplay,,PasukIndMode,UniqueId,,HiddenFromIndex,[Books\000_ACCESORIES\000_!WELLCOME.txt_תורת אמת],SearchInTitles,GroupId,שם הספר,LastLevelIndex,,SpecialTitle,FilesGotFrom,Comments,PutNewLinesAsIs,ChainFolderName,Haskamot,,CosmeticsType
ילקוט שמעוני - מלכים א,אתר דעת,Books\000_HORADOT\250_SHIMONI\010_shimoni_melachim_a.txt,,,0,,0,3090,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - מלכים ב,אתר דעת,Books\000_HORADOT\250_SHIMONI\011_shimoni_melachim_b.txt,,,0,,0,3091,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - ישעיה,אתר דעת,Books\000_HORADOT\250_SHIMONI\012_shimoni_yishaya.txt,,,0,,0,3092,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - ירמיה,אתר דעת,Books\000_HORADOT\250_SHIMONI\013_shimoni_yermiya.txt,,,0,,0,3093,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - יחזקאל,אתר דעת,Books\000_HORADOT\250_SHIMONI\014_shimoni_yechezkel.txt,,,0,,0,3094,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - הושע,אתר דעת,Books\000_HORADOT\250_SHIMONI\015_shimoni_hoshea.txt,,,0,,0,3095,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - יואל,אתר דעת,Books\000_HORADOT\250_SHIMONI\016_shimoni_yoel.txt,,,0,,0,3096,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - עמוס,אתר דעת,Books\000_HORADOT\250_SHIMONI\017_shimoni_amos.txt,,,0,,0,3097,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - עובדיה,אתר דעת,Books\000_HORADOT\250_SHIMONI\018_shimoni_ovadya.txt,,,0,,0,3098,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - יונה,אתר דעת,Books\000_HORADOT\250_SHIMONI\019_shimoni_yona.txt,,,0,,0,3099,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - מיכה,אתר דעת,Books\000_HORADOT\250_SHIMONI\020_shimoni_micha.txt,,,0,,0,3100,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - נחום,אתר דעת,Books\000_HORADOT\250_SHIMONI\021_shimoni_nachum.txt,,,0,,0,3101,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - חבקוק,אתר דעת,Books\000_HORADOT\250_SHIMONI\022_shimoni_havakuk.txt,,,0,,0,3102,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - צפניה,אתר דעת,Books\000_HORADOT\250_SHIMONI\023_shimoni_zefanya.txt,,,0,,0,3103,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - חגי,אתר דעת,Books\000_HORADOT\250_SHIMONI\024_shimoni_hagay.txt,,,0,,0,3104,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - זכריה,אתר דעת,Books\000_HORADOT\250_SHIMONI\025_shimoni_zecharya.txt,,,0,,0,3105,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - מלאכי,אתר דעת,Books\000_HORADOT\250_SHIMONI\026_shimoni_malachi.txt,,,0,,0,3106,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - תהילים,אתר דעת,Books\000_HORADOT\250_SHIMONI\027_shimoni_tehilim.txt,,,0,,0,3107,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - משלי,אתר דעת,Books\000_HORADOT\250_SHIMONI\028_shimoni_mishley.txt,,,0,,0,3108,,1,,1,,,2,,,,,1,1,,,#bp
