קיים כבר בספריא,שם הספר,שם הקובץ,קטגורייה,auto,noc
FALSE,פרשת יתרו,999105,שמות,,1
FALSE,פרשת משפטים,999106,שמות,,1
FALSE,פרשת תרומה,999107,שמות,,1
FALSE,פרשת תצוה,999108,שמות,,1
FALSE,פרשת כי תשא,999109,שמות,,1
FALSE,פרשת ויקהל,999110,שמות,,1
FALSE,פרשת פקודי,999111,שמות,,1
FALSE,פרשת ויקרא,999201,ויקרא,,1
FALSE,פרשת צו,999202,ויקרא,,1
FALSE,פרשת שמיני,999203,ויקרא,,1
FALSE,פרשת תזריע,999204,ויקרא,,1
FALSE,פרשת מצורע,999205,ויקרא,,1
FALSE,פרשת אחרי מות,999206,ויקרא,,1
FALSE,פרשת קדושים,999207,ויקרא,,1
FALSE,פרשת אמור,999208,ויקרא,,1
FALSE,פרשת בהר,999209,ויקרא,,1
FALSE,פרשת בחקתי,999210,ויקרא,,1
FALSE,פרשת במדבר,999301,במדבר,,1
FALSE,פרשת נשא,999302,במדבר,,1
FALSE,פרשת בהעלתך,999303,במדבר,,1
FALSE,פרשת שלח לך,999304,במדבר,,1
FALSE,פרשת קרח,999305,במדבר,,1
FALSE,פרשת חקת,999306,במדבר,,1
FALSE,פרשת בלק,999307,במדבר,,1
FALSE,פרשת פינחס,999308,במדבר,,1
FALSE,פרשת מטות,999309,במדבר,,1
FALSE,פרשת מסעי,999310,במדבר,,1
FALSE,פרשת דברים,999401,דברים,,1
FALSE,פרשת ואתחנן,999402,דברים,,1
FALSE,פרשת עקב,999403,דברים,,1
FALSE,פרשת ראה,999404,דברים,,1
FALSE,פרשת שופטים,999405,דברים,,1
FALSE,פרשת כי תצא,999406,דברים,,1
FALSE,פרשת כי תבוא,999407,דברים,,1
FALSE,פרשת נצבים,999408,דברים,,1
FALSE,פרשת וילך,999409,דברים,,1
FALSE,פרשת האזינו,999410,דברים,,1
FALSE,פרשת וזאת הברכה,999411,דברים,,1
FALSE,יהושע,6,נביאים,,24
FALSE,שופטים,7,נביאים,,21
FALSE,שמואל א,8,נביאים,,31
FALSE,שמואל ב,9,נביאים,,24
FALSE,מלכים א,10,נביאים,,22
FALSE,מלכים ב,11,נביאים,,25
FALSE,ישעיהו,12,נביאים,,66
FALSE,ירמיהו,13,נביאים,,52
FALSE,יחזקאל,14,נביאים,,48
FALSE,הושע,15,נביאים,,14
FALSE,יואל,16,נביאים,,4
FALSE,עמוס,17,נביאים,,9
FALSE,עבדיה,18,נביאים,,1
FALSE,יונה,19,נביאים,,4
FALSE,מיכה,20,נביאים,,7
FALSE,נחום,21,נביאים,,3
FALSE,חבקוק,22,נביאים,,3
FALSE,צפניה,23,נביאים,,3
FALSE,חגי,24,נביאים,,2
FALSE,זכריה,25,נביאים,,14
FALSE,מלאכי,26,נביאים,,3
FALSE,תהלים,27,כתובים,,150
FALSE,משלי,28,כתובים,,31
FALSE,איוב,29,כתובים,,42
FALSE,שיר השירים,30,כתובים,,8
FALSE,רות,31,כתובים,,4
FALSE,איכה,32,כתובים,,5
FALSE,קהלת,33,כתובים,,12
FALSE,אסתר,34,כתובים,,10
FALSE,דניאל,35,כתובים,,12
FALSE,עזרא,36,כתובים,,10
FALSE,נחמיה,37,כתובים,,13
FALSE,דברי הימים א,38,כתובים,,29
FALSE,דברי הימים ב,39,כתובים,,36
FALSE,זרעים,,משנה,,
FALSE,מועד,,משנה,,
FALSE,נשים,,משנה,,
FALSE,נזיקין,,משנה,,
FALSE,קדשים,,משנה,,
FALSE,טהרות,,משנה,,
FALSE,ברכות,2001,זרעים,,1
FALSE,פיאה,2002,זרעים,,1
FALSE,דמאי,2003,זרעים,,1
FALSE,כלאיים,2004,זרעים,,1
FALSE,שביעית,2005,זרעים,,1
FALSE,תרומות,2006,זרעים,,1
FALSE,מעשרות,2007,זרעים,,1
FALSE,מעשר שני,2008,זרעים,,1
FALSE,חלה,2009,זרעים,,1
FALSE,ערלה,2010,זרעים,,1
FALSE,ביכורים,2011,זרעים,,1
FALSE,שבת,2012,מועד,,1
FALSE,עירובין,2013,מועד,,1
FALSE,פסחים,2014,מועד,,1
FALSE,שקלים,2015,מועד,,1
FALSE,יומא,2016,מועד,,1
FALSE,סוכה,2017,מועד,,1
FALSE,ביצה,2018,מועד,,1
FALSE,ראש השנה,2019,מועד,,1
FALSE,תענית,2020,מועד,,1
FALSE,מגילה,2021,מועד,,1
FALSE,מועד קטן,2022,מועד,,1
FALSE,חגיגה,2023,מועד,,1
FALSE,יבמות,2024,נשים,,1
FALSE,כתובות,2025,נשים,,1
FALSE,נדרים,2026,נשים,,1
FALSE,נזיר,2027,נשים,,1
FALSE,סוטה,2028,נשים,,1
FALSE,גיטין,2029,נשים,,1
FALSE,קידושין,2030,נשים,,1
