מספר הספר,שם הקובץ,שם הספר,קטגוריות,לינק לספר,noc
999404,פרשת ראה,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999404,0,0)",1
999405,פרשת שופטים,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999405,0,0)",1
999406,פרשת כי תצא,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999406,0,0)",1
999407,פרשת כי תבוא,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999407,0,0)",1
999408,פרשת נצבים,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999408,0,0)",1
999409,פרשת וילך,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999409,0,0)",1
999410,פרשת האזינו,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999410,0,0)",1
999411,פרשת וזאת הברכה,דברים,"תנ''ך , תורה , תורה לפי פרשיות (שניים מקרא וא' תר')","http://mobile.tora.ws/index.html?bgf=lnn(999411,0,0)",1
6,יהושע,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(6,0,0)",24
7,שופטים,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(7,0,0)",21
8,שמואל א,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(8,0,0)",31
9,שמואל ב,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(9,0,0)",24
10,מלכים א,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(10,0,0)",22
11,מלכים ב,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(11,0,0)",25
12,ישעיהו,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(12,0,0)",66
13,ירמיהו,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(13,0,0)",52
14,יחזקאל,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(14,0,0)",48
15,הושע,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(15,0,0)",14
16,יואל,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(16,0,0)",4
17,עמוס,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(17,0,0)",9
18,עבדיה,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(18,0,0)",1
19,יונה,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(19,0,0)",4
20,מיכה,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(20,0,0)",7
21,נחום,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(21,0,0)",3
22,חבקוק,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(22,0,0)",3
23,צפניה,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(23,0,0)",3
24,חגי,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(24,0,0)",2
25,זכריה,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(25,0,0)",14
26,מלאכי,נביאים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(26,0,0)",3
27,תהלים,כתובים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(27,0,0)",150
28,משלי,כתובים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(28,0,0)",31
29,איוב,כתובים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(29,0,0)",42
30,שיר השירים,כתובים,תנ''ך,"http://mobile.tora.ws/index.html?bgf=lnn(30,0,0)",8
