original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
080_poskim_ahronim/050_aruch_hasulchan1/014hlcot_sbt.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות שבת.txt,,,1,,,,,,הלכות שבת,158214,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/022hlcot_tunit.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות תענית.txt,,,1,,,,,,הלכות תענית,158222,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/023hlcot_ras_hsnh.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות ראש השנה.txt,,,1,,,,,,הלכות ראש השנה,158223,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/016hlcot_uirobi_thomin.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות עירובי תחומין.txt,,,1,,,,,,הלכות עירובי תחומין,158216,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/025hlcot_soch.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות סוכה.txt,,,1,,,,,,הלכות סוכה,158225,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/015hlcot_thomin.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות תחומין.txt,,,1,,,,,,הלכות תחומין,158215,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/017hlcot_ras_hods.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות ראש חודש.txt,,,1,,,,,,הלכות ראש חודש,158217,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/002hlcot_zizit.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות ציצית.txt,,,1,,,,,,הלכות ציצית,15822,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/019hlcot_iom_tob.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות יום טוב.txt,,,1,,,,,,הלכות יום טוב,158219,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/050_aruch_hasulchan1/004hlcot_brct_hshr_osar_brcot.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות ברכת השחר ושאר ברכות.txt,,,1,,,,,,הלכות ברכת השחר ושאר ברכות,15824,,,,,''ויקיטקסט'',,,,,
