ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
2497,"ספר מצוות גדול (סמ""ג) עם משנת אברהם - חלק ב","משה בן יעקב, מקוצי; פריס, אברהם אהרן בן יוסף",טורונטו,תשלח,Toronto,1978,618,,,,,,,,"מצוות;סמ""ג;ראשונים"
2498,מוצאי מים,"הירשנזון, חיים בן יעקב מרדכי, 1857-1935",הובוקן,תרפד,Hoboken,1924,272,,,,,"296.888 -- Midrash, Aggada - Commentaries.",,,גאונים;רבה בר בר חנא
2499,מוסר המשנה - זרעים,"גינצבורג, יהודה ליב בן דב",דענווער,תרצט,Denver,1939,141,,,,,מוסר,,,זרעים;מועדים;משניות
2500,מוסר המשנה - מועד,"גינצבורג, יהודה ליב בן דב",דענווער,תרצט,Denver,1939,246,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,גאונים;מוסר;משניות
2501,מוסדות האמונה,"ניסנבוים, מרדכי אריה, הלוי",ניו יורק,תרפד,New York,1924,71,,,,,"296.12 -- Jewish philosophy, theology and religion - Principles of Jewish faith.",,,אמונה;מוסר
2502,,,,,,,,,,,,,,,
2503,משיח געהט משיח קומט,"מזאה, אליהו מרדכי",ניו יורק,תרחצ,New York,1938,16,,,,,"296.124 -- Jewish philosophy, theology and religion - Eschatology, the Messiah, ingathering of the exiles.",,,ביאת המשיח;גאולה;יידיש;מוסר;משיח
2504,נחלת יוסף,"גפן, טוביה, 1870-1970",אטלנטא,תשו,Altona,1946,33,,,,,,,,"על הש""ס"
2505,נחל אברהם,"שרשבסקי, אברהם משה בן חיים, -1927",פורטלנד,תרנז,Portland,1897,94,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,דרשות;מוסר;סוגיות
2506,,,,,,,,,,,,,,,
2507,נחלת אהרן,"מילבסקי, אהרן בן משה אריה",מונטיווידעו,תשיא,Monvtevideo,1951,80,,,,,מלוכה -- הלכה,,,"מלכים;רמב""ם"
2508,נחלת חמשה- תפארת משה,"גוסטינסקי, חיים משה",ברוקלין,תשט,Brooklyn,1949,230,,,,,"בלום, משה חיים",,,"בראשית;עה""ת;שמות"
2509,נחלת מאיר,"פרימן, מאיר בן זאב",ניו יורק,תרפט,New York,1929,181,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,"ירושלמי;עך הש""ס"
2510,נאה דורש לכל השנה,"סילברסטון, גדליה בן ישעיה מאיר",ירושלים,תרחצ,Jerusalem,1938,118,,,,,דרשות.,,,דרשות
2511,נחמות ישראל,"ברנר, ישראל מאיר",פילדלפיא,תרסב,Philadelphia,1902,75,,,,,,,,"דרשות;עה""ת"
2512,נחמת יוסף,"תאומים, יוסף בן נחום צבי הירש זידא",ניו יורק,תשט,New York,1950,158,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"שו""ת"
2513,,,,,,,,,,,,,,,
2514,נחמד ונעים - במדבר,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תרצט,New York,1939,258,,,,,"296.451 -- Sermons on the weekly sections of the law, Derashot le-Shabatot.",,,"במדבר;עה""ת"
2515,,,,,,,,,,,,,,,
2516,נחמד ונעים - פתגמי אוריתא,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תש,New York,1940,290,,,,,"296.451 -- Sermons on the weekly sections of the law, Derashot le-Shabatot.",,,פתגמים
2517,נחמד למראה,"ויטנשטין, זאב דב בן פסח דוד",קליוולנד,תרסג,Cleveland,1903,68,,,,,דרשות (יהדות),,,דרשות
2518,נאות דשא - חלק א,"אלקין, שמואל אליהו",ירושלים,תשיט,Jerusalem,1959,190,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"נ""ך;תהלים"
2519,נאות דשא - חלק ב,"אלקין, שמואל אליהו",ירושלים,תשיט,Jerusalem,1959,164,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,גאונים
2520,נאות דשא - חלק ג,"אלקין, שמואל אליהו",ירושלים,תשכו,Jerusalem,1963,204,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,גאונים
2521,נתיבות חיים - חלק א,"קורב, חיים יצחק בן שאול, 1872-1957",ניו יורק,תרפז,New York,1927,100,,,,,חדושים ופלפולים,,,סוגיות
2522,נתיבות נביאים - חלק ב,"בלומנפלד, מאיר בן שלמה, 1905-1980",נוארק,תשכה,?,1965,224,,,,,"296.451.1 -- Sermons on the Haftarot, Derashot le-Haftarot",,,"דרשות;עה""ת"
2523,נתיבות נביאים - חלק א,"בלומנפלד, מאיר בן שלמה, 1905-1980",נוארק,תשכג,New York City,1963,224,,,,,"296.451.1 -- Sermons on the Haftarot, Derashot le-Haftarot",,,בראשית;גאונים;שמות
