708,/p49/m708,חסדיך וטובתך לאדם,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
709,/p49/m709,דבר בעתו,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
714,/p161/m714,לִקְרַאת מְקוֹר חַיֵי אֱמֶת,יהודה הלוי,,299200,,,שירה,
715,/p180/m715,עזבתני ועלתה לשחקים,שלמה אבן גבירול,,239355,,,שירה,
755,/p20/m755,[לָנוּ כַטַּל תִּהְיֶה],אברהם אבן עזרא,,270670,,,שירה,
757,/p170/m757,עד אן בגלות שלחו שלח,משה אבן עזרא,,719393,,,שירה,
768,/p146/m768,עין ולב,שלום שבזי,,,,,שירה,
769,/p167/m769,"קינה על מות ר' יצחק חיים כ""צ מהחזנים",משה חיים לוצטו,,982845,,,שירה,
777,/p77/m777,זמן בוגד,וידל בנבנשתי,,7927660,,,שירה,
797,/p49/m797,[דַּלְתֵי פְרִיצוּת],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
798,/p49/m798,[הַעַל בְּחָשְׁכָּךְ],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
800,/p49/m800,ואומר מה בלא,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
802,/p49/m802,וְאוֹמֵר וּמַה-לָּךְ טוֹב] ,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
809,/p161/m809,לא האמין אמון עלי תולעת,יהודה הלוי,,299200,,,שירה,
810,/p161/m810,[שְׂאוּ הָרִים וּמִדְבָּרִים וְיַמִּים],יהודה הלוי,,299200,,,שירה,
828,/p20/m828,[אז מארץ מצרים],אברהם אבן עזרא,,270670,,,שירה,
829,/p170/m829,[אֶרְאֶה צְבָאִים עַל ֿפְּנֵי ֿשַׁחַק],משה אבן עזרא,,719393,,,שירה,
830,/p170/m830,סוד לבי ומצפוני,משה אבן עזרא,,719393,,,שירה,
831,/p170/m831,יונת אלם רחוקים מעל קנה נתושה,משה אבן עזרא,,719393,,,שירה,
885,/p77/m885,גאה כפיר,וידל בנבנשתי,,7927660,,,שירה,
903,/p49/m903,גְּדֹר לִבָּךְ,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
906,/p49/m906,[טְרַח וּשְׁקֹד],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
907,/p49/m907,[בְּמַחְשַׁכִּים יְהִי],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
908,/p49/m908,אֲשֶׁר רָעָה,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
913,/p161/m913,[בַּעְלַת כְּשָׁפִים],יהודה הלוי,,299200,,,שירה,
915,/p180/m915,שפת מזרק,שלמה אבן גבירול,,239355,,,שירה,
924,/p20/m924,[אֵל נִשְׂגָּב בְּהוֹדוֹ],אברהם אבן עזרא,,270670,,,שירה,
941,/p79/m941,הֲנִקְבַּצְתֶּם וְהַעְתַּרְתֶּם,יצחק אבן כלפון,,7028939,,,שירה,
942,/p170/m942,בִּנְעִים אֲמָרִים מִלְּבַב חֹמֵד יַיִן,משה אבן עזרא,,719393,,,שירה,
955,/p161/m955,שיר דברו צפיו וקול נשאו (ליעקב (בו יוסף) בן אלמעלם,יהודה הלוי,,299200,,,שירה,
961,/p77/m961,יום נד,וידל בנבנשתי,,7927660,,,שירה,
967,/p49/m967,[גְּמוּלָה לְמוֹצִיא],שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
968,/p49/m968,עֲבוֹד עוֹלָם,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
969,/p49/m969,הרעיון לבך,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
970,/p49/m970,חֲבֵרָךְ אֲשֶׁר,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
974,/p161/m974,[אוהבי לחייו יריקו],יהודה הלוי,,299200,,,שירה,
975,/p166/m975,מראשית מלכות בית דוד עד מות חזקיהו: הנביאים בימי עזיהו יותם אחז חזקיהו ומעשי סוד אנשי חזקיהו מלך יהודה,זאב יעבץ,,12407187,,,עיון,
976,/p180/m976,[אֱמֹר לָאוֹמְרִים],שלמה אבן גבירול,,239355,,,שירה,
1133,/p20/m1133,[אמות – ולא מת מחלי],אברהם אבן עזרא,,270670,,,שירה,
1134,/p20/m1134,[אִחֲזוּ אֵלִים פְּנֵי כִסֵּא],אברהם אבן עזרא,,270670,,,שירה,
1135,/p170/m1135,שחתי לעפרה נסעה,משה אבן עזרא,,719393,,,שירה,
1136,/p170/m1136,הריחותי הדסי השלומים,משה אבן עזרא,,719393,,,שירה,
1138,/p170/m1138,הריח מר מאחז האפסים,משה אבן עזרא,,719393,,,שירה,
1147,/p146/m1147,אגיל ואשמח,שלום שבזי,,,,,שירה,
1150,/p180/m1150,[אהי פדיון],שלמה אבן גבירול,,239355,,,שירה,
1155,/p77/m1155,לבי לקלל,וידל בנבנשתי,,7927660,,,שירה,
1157,/p49/m1157,לְבֶן משֶׁה,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
1161,/p49/m1161,בנפשי אח,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
1170,/p49/m1170,הַזְכֵּר לְנָדִיב,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
1171,/p49/m1171,הֲיִשַּׁר בְּעֵת,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
1172,/p49/m1172,חֶבְרַת מְלֵא-שֵׂכֶל,שמואל הנגיד,,467161,,,שירה,"מתוך ""כל שירי רבי שמואל הנגיד"", תל אביב: מחברות לספרות בסיוע מוסד הרב קוק, תש""ז–תשי""ג"
