תאריך,מסכת,פרק,משנה,סימן,סעיף,ספר הלכה,עברי
05/06/17,עירובין,ח,ה-ו,קע,יח-כ,"שו""ע או""ח","יא סיון תשע""ז"
06/06/17,עירובין,ח,ז-ח,קע-א,כא-א,"שו""ע או""ח","יב סיון תשע""ז"
07/06/17,עירובין,ח,ט-י,קעא,ב-ד,"שו""ע או""ח","יג סיון תשע""ז"
08/06/17,עירובין,ח-ט,יא-א,קעא-ב,ה-ב,"שו""ע או""ח","יד סיון תשע""ז"
09/06/17,עירובין,ט,ב-ג,קעג,א-ג,"שו""ע או""ח","טו סיון תשע""ז"
10/06/17,עירובין,ט-י,ד-א,קעד,א-ג,"שו""ע או""ח","טז סיון תשע""ז"
11/06/17,עירובין,י,ב-ג,קעד,ד-ו,"שו""ע או""ח","יז סיון תשע""ז"
12/06/17,עירובין,י,ד-ה,קעד-ה,ז-א,"שו""ע או""ח","יח סיון תשע""ז"
13/06/17,עירובין,י,ו-ז,קעה,ב-ד,"שו""ע או""ח","יט סיון תשע""ז"
14/06/17,עירובין,י,ח-ט,קעה-ו,ה-א,"שו""ע או""ח","כ סיון תשע""ז"
15/06/17,עירובין,י,י-יא,קעז,א-ג,"שו""ע או""ח","כא סיון תשע""ז"
16/06/17,עירובין,י,יב-יג,קעז-ח,ד-א,"שו""ע או""ח","כב סיון תשע""ז"
17/06/17,עירובין,י,יד-טו,קעח,ב-ד,"שו""ע או""ח","כג סיון תשע""ז"
18/06/17,פסחים,א,א-ב,קעח,ה-ז,"שו""ע או""ח","כד סיון תשע""ז"
19/06/17,פסחים,א,ג-ד,קעט,א-ג,"שו""ע או""ח","כה סיון תשע""ז"
20/06/17,פסחים,א,ה-ו,קעט,ד-ו,"שו""ע או""ח","כו סיון תשע""ז"
21/06/17,פסחים,א-ב,ז-א,קפ,א-ג,"שו""ע או""ח","כז סיון תשע""ז"
22/06/17,פסחים,ב,ב-ג,קפ-א,ד-א,"שו""ע או""ח","כח סיון תשע""ז"
23/06/17,פסחים,ב,ד-ה,קפא,ב-ד,"שו""ע או""ח","כט סיון תשע""ז"
24/06/17,פסחים,ב,ו-ז,קפא,ה-ז,"שו""ע או""ח","ל סיון תשע""ז"
25/06/17,פסחים,ב-ג,ח-א,קפא,ח-י,"שו""ע או""ח","א תמוז תשע""ז"
26/06/17,פסחים,ג,ב-ג,קפב,א-ג,"שו""ע או""ח","ב תמוז תשע""ז"
27/06/17,פסחים,ג,ד-ה,קפב,ד-ו,"שו""ע או""ח","ג תמוז תשע""ז"
28/06/17,פסחים,ג,ו-ז,קפב-ג,ז-ב,"שו""ע או""ח","ד תמוז תשע""ז"
29/06/17,פסחים,ג-ד,ח-א,קפג,ג-ה,"שו""ע או""ח","ה תמוז תשע""ז"
30/06/17,פסחים,ד,ב-ג,קפג,ו-ח,"שו""ע או""ח","ו תמוז תשע""ז"
01/07/17,פסחים,ד,ד-ה,קפג,ט-יא,"שו""ע או""ח","ז תמוז תשע""ז"
02/07/17,פסחים,ד,ו-ז,קפג-ד,יב-ב,"שו""ע או""ח","ח תמוז תשע""ז"
03/07/17,פסחים,ד,ח-ט,קפד,ג-ה,"שו""ע או""ח","ט תמוז תשע""ז"
04/07/17,פסחים,ה,א-ב,קפד-ה,ו-ב,"שו""ע או""ח","י תמוז תשע""ז"
05/07/17,פסחים,ה,ג-ד,קפה,ג-ה,"שו""ע או""ח","יא תמוז תשע""ז"
06/07/17,פסחים,ה,ה-ו,קפו-ז,א-א,"שו""ע או""ח","יב תמוז תשע""ז"
07/07/17,פסחים,ה,ז-ח,קפז,ב-ד,"שו""ע או""ח","יג תמוז תשע""ז"
08/07/17,פסחים,ה,ט-י,קפח,א-ג,"שו""ע או""ח","יד תמוז תשע""ז"
09/07/17,פסחים,ו,א-ב,קפח,ד-ו,"שו""ע או""ח","טו תמוז תשע""ז"
10/07/17,פסחים,ו,ג-ד,קפח,ז-ט,"שו""ע או""ח","טז תמוז תשע""ז"
11/07/17,פסחים,ו,ה-ו,קפח-ט,י-ב,"שו""ע או""ח","יז תמוז תשע""ז"
12/07/17,פסחים,ז,א-ב,קצ,א-ג,"שו""ע או""ח","יח תמוז תשע""ז"
13/07/17,פסחים,ז,ג-ד,קצ-א,ד-א,"שו""ע או""ח","יט תמוז תשע""ז"
14/07/17,פסחים,ז,ה-ו,קצא-ב,ב-א,"שו""ע או""ח","כ תמוז תשע""ז"
15/07/17,פסחים,ז,ז-ח,קצב-ג,ב-ב,"שו""ע או""ח","כא תמוז תשע""ז"
16/07/17,פסחים,ז,ט-י,קצג,ג-ה,"שו""ע או""ח","כב תמוז תשע""ז"
17/07/17,פסחים,ז,יא-יב,קצג-ד,ו-ב,"שו""ע או""ח","כג תמוז תשע""ז"
18/07/17,פסחים,ז-ח,יג-א,קצד-ה,ג-ב,"שו""ע או""ח","כד תמוז תשע""ז"
19/07/17,פסחים,ח,ב-ג,קצה-ו,ג-ב,"שו""ע או""ח","כה תמוז תשע""ז"
20/07/17,פסחים,ח,ד-ה,קצו-ז,ג-א,"שו""ע או""ח","כו תמוז תשע""ז"
21/07/17,פסחים,ח,ו-ז,קצז,ב-ד,"שו""ע או""ח","כז תמוז תשע""ז"
22/07/17,פסחים,ח-ט,ח-א,קצח-ט,א-ב,"שו""ע או""ח","כח תמוז תשע""ז"
23/07/17,פסחים,ט,ב-ג,קצט,ג-ה,"שו""ע או""ח","כט תמוז תשע""ז"
24/07/17,פסחים,ט,ד-ה,קצט,ו-ח,"שו""ע או""ח","א אב תשע""ז"
25/07/17,פסחים,ט,ו-ז,קצט,ט-יא,"שו""ע או""ח","ב אב תשע""ז"
26/07/17,פסחים,ט,ח-ט,ר-רא,א-א,"שו""ע או""ח","ג אב תשע""ז"
27/07/17,פסחים,ט,י-יא,רא,ב-ד,"שו""ע או""ח","ד אב תשע""ז"
28/07/17,פסחים,י,א-ב,רב,א-ג,"שו""ע או""ח","ה אב תשע""ז"
29/07/17,פסחים,י,ג-ד,רב,ד-ו,"שו""ע או""ח","ו אב תשע""ז"
30/07/17,פסחים,י,ה-ו,רב,ז-ט,"שו""ע או""ח","ז אב תשע""ז"
31/07/17,פסחים,י,ז-ח,רב,י-יב,"שו""ע או""ח","ח אב תשע""ז"
01/08/17,פסחים-שקלים,י-א,ט-א,רב,יג-טו,"שו""ע או""ח","ט אב תשע""ז"
02/08/17,שקלים,א,ב-ג,רב,טז-יח,"שו""ע או""ח","י אב תשע""ז"
03/08/17,שקלים,א,ד-ה,רג,א-ג,"שו""ע או""ח","יא אב תשע""ז"
04/08/17,שקלים,א,ו-ז,רג,ד-ו,"שו""ע או""ח","יב אב תשע""ז"
05/08/17,שקלים,ב,א-ב,רג-ד,ז-א,"שו""ע או""ח","יג אב תשע""ז"
06/08/17,שקלים,ב,ג-ד,רד,ב-ד,"שו""ע או""ח","יד אב תשע""ז"
07/08/17,שקלים,ב-ג,ה-א,רד,ה-ז,"שו""ע או""ח","טו אב תשע""ז"
08/08/17,שקלים,ג,ב-ג,רד,ח-י,"שו""ע או""ח","טז אב תשע""ז"
09/08/17,שקלים,ג-ד,ד-א,רד,יא-יג,"שו""ע או""ח","יז אב תשע""ז"
10/08/17,שקלים,ד,ב-ג,רה,א-ג,"שו""ע או""ח","יח אב תשע""ז"
11/08/17,שקלים,ד,ד-ה,רה-ו,ד-א,"שו""ע או""ח","יט אב תשע""ז"
12/08/17,שקלים,ד,ו-ז,רו,ב-ד,"שו""ע או""ח","כ אב תשע""ז"
13/08/17,שקלים,ד,ח-ט,רו-ז,ה-א,"שו""ע או""ח","כא אב תשע""ז"
14/08/17,שקלים,ה,א-ב,רח,א-ג,"שו""ע או""ח","כב אב תשע""ז"
15/08/17,שקלים,ה,ג-ד,רח,ד-ו,"שו""ע או""ח","כג אב תשע""ז"
16/08/17,שקלים,ה,ה-ו,רח,ז-ט,"שו""ע או""ח","כד אב תשע""ז"
17/08/17,שקלים,ו,א-ב,רח,י-יב,"שו""ע או""ח","כה אב תשע""ז"
18/08/17,שקלים,ו,ג-ד,רח,יג-טו,"שו""ע או""ח","כו אב תשע""ז"
19/08/17,שקלים,ו,ה-ו,רח,טז-יח,"שו""ע או""ח","כז אב תשע""ז"
20/08/17,שקלים,ז,א-ב,רט,א-ג,"שו""ע או""ח","כח אב תשע""ז"
21/08/17,שקלים,ז,ג-ד,רי-א,א-א,"שו""ע או""ח","כט אב תשע""ז"
22/08/17,שקלים,ז,ה-ו,ריא,ב-ד,"שו""ע או""ח","ל אב תשע""ז"
23/08/17,שקלים,ז-ח,ז-א,ריא-ב,ה-א,"שו""ע או""ח","א אלול תשע""ז"
24/08/17,שקלים,ח,ב-ג,ריב-ג,ב-ב,"שו""ע או""ח","ב אלול תשע""ז"
25/08/17,שקלים,ח,ד-ה,ריג-יד-טו,ג-א,"שו""ע או""ח","ג אלול תשע""ז"
26/08/17,שקלים,ח,ו-ז,רטו,ב-ד,"שו""ע או""ח","ד אלול תשע""ז"
27/08/17,שקלים-יומא,ח-א,ח-א,רטז,א-ג,"שו""ע או""ח","ה אלול תשע""ז"
28/08/17,יומא,א,ב-ג,רטז,ד-ו,"שו""ע או""ח","ו אלול תשע""ז"
29/08/17,יומא,א,ד-ה,רטז,ז-ט,"שו""ע או""ח","ז אלול תשע""ז"
30/08/17,יומא,א,ו-ז,רטז,י-יב,"שו""ע או""ח","ח אלול תשע""ז"
31/08/17,יומא,א-ב,ח-א,רטז-יז,יג-א,"שו""ע או""ח","ט אלול תשע""ז"
01/09/17,יומא,ב,ב-ג,ריז,ב-ד,"שו""ע או""ח","י אלול תשע""ז"
02/09/17,יומא,ב,ד-ה,ריז,ה-ז,"שו""ע או""ח","יא אלול תשע""ז"
03/09/17,יומא,ב,ו-ז,ריז-ח,ח-ב,"שו""ע או""ח","יב אלול תשע""ז"
04/09/17,יומא,ג,א-ב,ריח,ג-ה,"שו""ע או""ח","יג אלול תשע""ז"
05/09/17,יומא,ג,ג-ד,ריח,ו-ח,"שו""ע או""ח","יד אלול תשע""ז"
06/09/17,יומא,ג,ה-ו,ריח-ט,ט-ב,"שו""ע או""ח","טו אלול תשע""ז"
07/09/17,יומא,ג,ז-ח,ריט,ג-ה,"שו""ע או""ח","טז אלול תשע""ז"
08/09/17,יומא,ג, ט-י,ריט,ו-ח,"שו""ע או""ח","יז אלול תשע""ז"
09/09/17,יומא,ג-ד,יא-א,ריט-כ,ט-ב,"שו""ע או""ח","יח אלול תשע""ז"
10/09/17,יומא,ד,ב-ג,רכא-ב,א-א,"שו""ע או""ח","יט אלול תשע""ז"
11/09/17,יומא,ד,ד-ה,רכב,ב-ד,"שו""ע או""ח","כ אלול תשע""ז"
12/09/17,יומא,ד-ה,ו-א,רכג,א-ג,"שו""ע או""ח","כא אלול תשע""ז"
13/09/17,יומא,ה,ב-ג,רכג,ד-ו,"שו""ע או""ח","כב אלול תשע""ז"
14/09/17,יומא,ה,ד-ה,רכד,א-ג,"שו""ע או""ח","כג אלול תשע""ז"
15/09/17,יומא,ה,ו-ז,רכד,ד-ו,"שו""ע או""ח","כד אלול תשע""ז"
16/09/17,יומא,ו,א-ב,רכד,ז-ט,"שו""ע או""ח","כה אלול תשע""ז"
17/09/17,יומא,ו,ג-ד,רכד,י-יב,"שו""ע או""ח","כו אלול תשע""ז"
18/09/17,יומא,ו,ה-ו,רכד-ה,יג-יב,"שו""ע או""ח","כז אלול תשע""ז"
19/09/17,יומא,ו,ז-ח,רכה,ג-ה,"שו""ע או""ח","כח אלול תשע""ז"
20/09/17,יומא,ז,א-ב,רכה,ו-ח,"שו""ע או""ח","כט אלול תשע""ז"
21/09/17,יומא,ז,ג-ד,רכה-ו,ט-א,"שו""ע או""ח","א תשרי תשע""ח"
22/09/17,יומא,ז-ח,ה-א,רכז,א-ג,"שו""ע או""ח","ב תשרי תשע""ח"
23/09/17,יומא,ח,ב-ג,רכח,א-ג,"שו""ע או""ח","ג תשרי תשע""ח"
24/09/17,יומא,ח,ד-ה,רכט-ל,א-א,"שו""ע או""ח","ד תשרי תשע""ח"
25/09/17,יומא,ח,ו-ז,רל,ב-ד,"שו""ע או""ח","ה תשרי תשע""ח"
26/09/17,יומא,ח,ח-ט,רל-א-ב,ה-א,"שו""ע או""ח","ו תשרי תשע""ח"
27/09/17,סוכה,א,א-ב,רלב-ג,ב-א,"שו""ע או""ח","ז תשרי תשע""ח"
28/09/17,סוכה,א,ג-ד,רלג-ד,ב-ב,"שו""ע או""ח","ח תשרי תשע""ח"
29/09/17,סוכה,א,ה-ו,רלה,א-ג,"שו""ע או""ח","ט תשרי תשע""ח"
30/09/17,סוכה,א,ז-ח,רלה-ו,ד-ב,"שו""ע או""ח","י תשרי תשע""ח"
01/10/17,סוכה,א,ט-י,רלו-ז,ג-א,"שו""ע או""ח","יא תשרי תשע""ח"
02/10/17,סוכה,א-ב,יא-א,רלח-ט,א-א,"שו""ע או""ח","יב תשרי תשע""ח"
03/10/17,סוכה,ב,ב-ג,רלט-מ,ב-ב,"שו""ע או""ח","יג תשרי תשע""ח"
04/10/17,סוכה,ב,ד-ה,רמ,ג-ה,"שו""ע או""ח","יד תשרי תשע""ח"
05/10/17,סוכה,ב,ו-ז,רמ,ו-ח,"שו""ע או""ח","טו תשרי תשע""ח"
06/10/17,סוכה,ב,ח-ט,רמ,ט-יא,"שו""ע או""ח","טז תשרי תשע""ח"
07/10/17,סוכה,ג,א-ב,רמ,יב-יד,"שו""ע או""ח","יז תשרי תשע""ח"
08/10/17,סוכה,ג,ג-ד,רמ,טו-יז,"שו""ע או""ח","יח תשרי תשע""ח"
09/10/17,סוכה,ג,ה-ו,רמא-ב-ג,א-א,"שו""ע או""ח","יט תשרי תשע""ח"
10/10/17,סוכה,ג,ז-ח,רמג-ד,ב-ב,"שו""ע או""ח","כ תשרי תשע""ח"
11/10/17,סוכה,ג,ט-י,רמד,ג-ה,"שו""ע או""ח","כא תשרי תשע""ח"
12/10/17,סוכה,ג,יא-יב,רמד-ה,ו-ב,"שו""ע או""ח","כב תשרי תשע""ח"
13/10/17,סוכה,ג,יג-יד,רמה,ג-ה,"שו""ע או""ח","כג תשרי תשע""ח"
14/10/17,סוכה,ג-ד,טו-א,רמה-ו,ו-ב,"שו""ע או""ח","כד תשרי תשע""ח"
15/10/17,סוכה,ד,ב-ג,רמו,ג-ה,"שו""ע או""ח","כה תשרי תשע""ח"
16/10/17,סוכה,ד,ד-ה,רמז,א-ג,"שו""ע או""ח","כו תשרי תשע""ח"
17/10/17,סוכה,ד,ו-ז,רמז,ד-ו,"שו""ע או""ח","כז תשרי תשע""ח"
18/10/17,סוכה,ד,ח-ט,רמח,א-ג,"שו""ע או""ח","כח תשרי תשע""ח"
19/10/17,סוכה,ד-ה,י-א,רמח-ט,ד-ב,"שו""ע או""ח","כט תשרי תשע""ח"
20/10/17,סוכה,ה,ב-ג,רמט-נ,ג-א,"שו""ע או""ח","ל תשרי תשע""ח"
21/10/17,סוכה,ה,ד-ה,רנ-א,ב-ב,"שו""ע או""ח","א חשון תשע""ח"
22/10/17,סוכה,ה,ו-ז,רנב,א-ג,"שו""ע או""ח","ב חשון תשע""ח"
23/10/17,סוכה-ביצה,ה-א,ח-א,רנב,ד-ו,"שו""ע או""ח","ג חשון תשע""ח"
24/10/17,ביצה,א,ב-ג,רנב-ג,ז-ב,"שו""ע או""ח","ד חשון תשע""ח"
25/10/17,ביצה,א,ד-ה,רנג,ג-ה,"שו""ע או""ח","ה חשון תשע""ח"
26/10/17,ביצה,א,ו-ז,רנד,א-ג,"שו""ע או""ח","ו חשון תשע""ח"
27/10/17,ביצה,א,ח-ט,רנד,ד-ו,"שו""ע או""ח","ז חשון תשע""ח"
28/10/17,ביצה,א-ב,י-א,רנד,ז-ט,"שו""ע או""ח","ח חשון תשע""ח"
29/10/17,ביצה,ב,ב-ג,רנה,א-ג,"שו""ע או""ח","ט חשון תשע""ח"
30/10/17,ביצה,ב,ד-ה,רנו-ז,א-ב,"שו""ע או""ח","י חשון תשע""ח"
31/10/17,ביצה,ב,ו-ז,רנז,ג-ה,"שו""ע או""ח","יא חשון תשע""ח"
01/11/17,ביצה,ב,ח-ט,רנז,ו-ח,"שו""ע או""ח","יב חשון תשע""ח"
02/11/17,ביצה,ב-ג,י-א,רנח-ט,א-ב,"שו""ע או""ח","יג חשון תשע""ח"
03/11/17,ביצה,ג,ב-ג,רנט,ג-ה,"שו""ע או""ח","יד חשון תשע""ח"
04/11/17,ביצה,ג,ד-ה,רנט-ס,ו-א,"שו""ע או""ח","טו חשון תשע""ח"
05/11/17,ביצה,ג,ו-ז,רס-א,ב-ב,"שו""ע או""ח","טז חשון תשע""ח"
06/11/17,ביצה,ג-ד,ח-א,רסא-ב,ג-א,"שו""ע או""ח","יז חשון תשע""ח"
07/11/17,ביצה,ד,ב-ג,רסב-ג,ב-א,"שו""ע או""ח","יח חשון תשע""ח"
08/11/17,ביצה,ד,ד-ה,רסג,ב-ד,"שו""ע או""ח","יט חשון תשע""ח"
09/11/17,ביצה,ד,ו-ז,רסג,ה-ז,"שו""ע או""ח","כ חשון תשע""ח"
10/11/17,ביצה,ה,א-ב,רסג,ח-י,"שו""ע או""ח","כא חשון תשע""ח"
11/11/17,ביצה,ה,ג-ד,רסג,יא-יג,"שו""ע או""ח","כב חשון תשע""ח"
12/11/17,ביצה,ה,ה-ו,רסג,יד-טז,"שו""ע או""ח","כג חשון תשע""ח"
13/11/17,ביצה-ראש השנה,ה-א,ז-א,רסג-ד,יז-ב,"שו""ע או""ח","כד חשון תשע""ח"
14/11/17,ראש השנה,א,ב-ג,רסד,ג-ה,"שו""ע או""ח","כה חשון תשע""ח"
15/11/17,ראש השנה,א,ד-ה,רסד,ו-ח,"שו""ע או""ח","כו חשון תשע""ח"
16/11/17,ראש השנה,א,ו-ז,רסד-ה,ט-א,"שו""ע או""ח","כז חשון תשע""ח"
17/11/17,ראש השנה,א,ח-ט,רסה,ב-ד,"שו""ע או""ח","כח חשון תשע""ח"
18/11/17,ראש השנה,ב,א-ב,רסו,א-ג,"שו""ע או""ח","כט חשון תשע""ח"
19/11/17,ראש השנה,ב,ג-ד,רסו,ד-ו,"שו""ע או""ח","א כסלו תשע""ח"
20/11/17,ראש השנה,ב,ה-ו,רסו,ז-ט,"שו""ע או""ח","ב כסלו תשע""ח"
21/11/17,ראש השנה,ב,ז-ח,רסו,י-יב,"שו""ע או""ח","ג כסלו תשע""ח"
22/11/17,ראש השנה,ב-ג,ט-א,רסו-ז,יג-ב,"שו""ע או""ח","ד כסלו תשע""ח"
23/11/17,ראש השנה,ג,ב-ג,רסז-ח,ג-ב,"שו""ע או""ח","ה כסלו תשע""ח"
24/11/17,ראש השנה,ג,ד-ה,רסח,ג-ה,"שו""ע או""ח","ו כסלו תשע""ח"
25/11/17,ראש השנה,ג,ו-ז,רסח,ו-ח,"שו""ע או""ח","ז כסלו תשע""ח"
26/11/17,ראש השנה,ג-ד,ח-א,רסח,ט-יא,"שו""ע או""ח","ח כסלו תשע""ח"
27/11/17,ראש השנה,ד,ב-ג,רסח-ט,יב-א,"שו""ע או""ח","ט כסלו תשע""ח"
28/11/17,ראש השנה,ד,ד-ה,רע-א,א-א,"שו""ע או""ח","י כסלו תשע""ח"
29/11/17,ראש השנה,ד,ו-ז,רעא,ב-ד,"שו""ע או""ח","יא כסלו תשע""ח"
30/11/17,ראש השנה,ד,ח-ט,רעא,ה-ז,"שו""ע או""ח","יב כסלו תשע""ח"
01/12/17,תענית,א,א-ב,רעא,ח-י,"שו""ע או""ח","יג כסלו תשע""ח"
02/12/17,תענית,א,ג-ד,רעא,יא-יג,"שו""ע או""ח","יד כסלו תשע""ח"
03/12/17,תענית,א,ה-ו,רעא,יד-טז,"שו""ע או""ח","טו כסלו תשע""ח"
04/12/17,תענית,א-ב,ז-א,רעא-ב,יז-ב,"שו""ע או""ח","טז כסלו תשע""ח"
05/12/17,תענית,ב,ב-ג,רעב,ג-ה,"שו""ע או""ח","יז כסלו תשע""ח"
06/12/17,תענית,ב,ד-ה,רעב,ו-ח,"שו""ע או""ח","יח כסלו תשע""ח"
07/12/17,תענית,ב,ו-ז,רעב-ג,ט-א,"שו""ע או""ח","יט כסלו תשע""ח"
08/12/17,תענית,ב,ח-ט,רעג,ב-ד,"שו""ע או""ח","כ כסלו תשע""ח"
09/12/17,תענית,ב-ג,י-א,רעג,ה-ז,"שו""ע או""ח","כא כסלו תשע""ח"
10/12/17,תענית,ג,ב-ג,רעד,א-ג,"שו""ע או""ח","כב כסלו תשע""ח"
11/12/17,תענית,ג,ד-ה,רעד-ה,ד-ב,"שו""ע או""ח","כג כסלו תשע""ח"
12/12/17,תענית,ג,ו-ז,רעה,ג-ה,"שו""ע או""ח","כד כסלו תשע""ח"
13/12/17,תענית,ג,ח-ט,רעה,ו-ח,"שו""ע או""ח","כה כסלו תשע""ח"
14/12/17,תענית,ד,א-ב,רעה,ט-יא,"שו""ע או""ח","כו כסלו תשע""ח"
15/12/17,תענית,ד,ג-ד,רעה-ו,יב-ב,"שו""ע או""ח","כז כסלו תשע""ח"
16/12/17,תענית,ד,ה-ו,רעו,ג-ה,"שו""ע או""ח","כח כסלו תשע""ח"
17/12/17,תענית,ד,ז-ח,רעז,א-ג,"שו""ע או""ח","כט כסלו תשע""ח"
18/12/17,מגילה,א,א-ב,רעז-ח,ד-א,"שו""ע או""ח","ל כסלו תשע""ח"
19/12/17,מגילה,א,ג-ד,רעט,א-ג,"שו""ע או""ח","א טבת תשע""ח"
20/12/17,מגילה,א,ה-ו,רעט,ד-ו,"שו""ע או""ח","ב טבת תשע""ח"
21/12/17,מגילה,א,ז-ח,רעט-פ,ז-ב,"שו""ע או""ח","ג טבת תשע""ח"
22/12/17,מגילה,א,ט-י,רפא-ב,א-ב,"שו""ע או""ח","ד טבת תשע""ח"
23/12/17,מגילה,א-ב,יא-א,רפב,ג-ה,"שו""ע או""ח","ה טבת תשע""ח"
24/12/17,מגילה,ב,ב-ג,רפב-ג,ו-א,"שו""ע או""ח","ו טבת תשע""ח"
25/12/17,מגילה,ב,ד-ה,רפד,א-ג,"שו""ע או""ח","ז טבת תשע""ח"
26/12/17,מגילה,ב-ג,ו-א,רפד,ד-ו,"שו""ע או""ח","ח טבת תשע""ח"
27/12/17,מגילה,ג,ב-ג,רפד-ה,ז-ב,"שו""ע או""ח","ט טבת תשע""ח"
28/12/17,מגילה,ג,ד-ה,רפה,ג-ה,"שו""ע או""ח","י טבת תשע""ח"
29/12/17,מגילה,ג-ד,ו-א,רפה-ו,ו-א,"שו""ע או""ח","יא טבת תשע""ח"
30/12/17,מגילה,ד,ב-ג,רפו,ב-ד,"שו""ע או""ח","יב טבת תשע""ח"
31/12/17,מגילה,ד,ד-ה,רפו-ז-ח,ה-א,"שו""ע או""ח","יג טבת תשע""ח"
01/01/18,מגילה,ד,ו-ז,רפח,ב-ד,"שו""ע או""ח","יד טבת תשע""ח"
02/01/18,מגילה,ד,ח-ט,רפח,ה-ז,"שו""ע או""ח","טו טבת תשע""ח"
03/01/18,מגילה-מועד קטן,ד-א,י-א,רפח,ח-י,"שו""ע או""ח","טז טבת תשע""ח"
04/01/18,מועד קטן,א,ב-ג,רפט-צ,א-א,"שו""ע או""ח","יז טבת תשע""ח"
05/01/18,מועד קטן,א,ד-ה,רצ-א,ב-ב,"שו""ע או""ח","יח טבת תשע""ח"
06/01/18,מועד קטן,א,ו-ז,רצא,ג-ה,"שו""ע או""ח","יט טבת תשע""ח"
07/01/18,מועד קטן,א,ח-ט,רצא-ב,ו-ב,"שו""ע או""ח","כ טבת תשע""ח"
08/01/18,מועד קטן,א-ב,י-א,רצג,א-ג,"שו""ע או""ח","כא טבת תשע""ח"
09/01/18,מועד קטן,ב,ב-ג,רצד,א-ג,"שו""ע או""ח","כב טבת תשע""ח"
10/01/18,מועד קטן,ב,ד-ה,רצד-ה,ד-א,"שו""ע או""ח","כג טבת תשע""ח"
11/01/18,מועד קטן,ג,א-ב,רצו,א-ג,"שו""ע או""ח","כד טבת תשע""ח"
12/01/18,מועד קטן,ג,ג-ד,רצו,ד-ו,"שו""ע או""ח","כה טבת תשע""ח"
13/01/18,מועד קטן,ג,ה-ו,רצו-ז,ז-א,"שו""ע או""ח","כו טבת תשע""ח"
14/01/18,מועד קטן,ג,ז-ח,רצז,ב-ד,"שו""ע או""ח","כז טבת תשע""ח"
15/01/18,מועד קטן-חגיגה,ג-א,ט-א,רצז-ח,ה-ב,"שו""ע או""ח","כח טבת תשע""ח"
16/01/18,חגיגה,א,ב-ג,רצח,ג-ה,"שו""ע או""ח","כט טבת תשע""ח"
17/01/18,חגיגה,א,ד-ה,רצח,ו-ח,"שו""ע או""ח","א שבט תשע""ח"
18/01/18,חגיגה,א,ו-ז,רצח,ט-יא,"שו""ע או""ח","ב שבט תשע""ח"
19/01/18,חגיגה,א-ב,ח-א,רצח,יב-יד,"שו""ע או""ח","ג שבט תשע""ח"
20/01/18,חגיגה,ב,ב-ג,רצח-ט,טו-ב,"שו""ע או""ח","ד שבט תשע""ח"
21/01/18,חגיגה,ב,ד-ה,רצט,ג-ה,"שו""ע או""ח","ה שבט תשע""ח"
22/01/18,חגיגה,ב,ו-ז,רצט,ו-ח,"שו""ע או""ח","ו שבט תשע""ח"
23/01/18,חגיגה,ג,א-ב,רצט-ש,ט-א,"שו""ע או""ח","ז שבט תשע""ח"
24/01/18,חגיגה,ג,ג-ד,שא,א-ג,"שו""ע או""ח","ח שבט תשע""ח"
25/01/18,חגיגה,ג,ה-ו,שא,ד-ו,"שו""ע או""ח","ט שבט תשע""ח"
26/01/18,חגיגה,ג *),ז-ח,שא,ז-ט,"שו""ע או""ח","י שבט תשע""ח"
27/01/18,יבמות,א,א-ב,שא,י-יב,"שו""ע או""ח","יא שבט תשע""ח"
28/01/18,יבמות,א,ג-ד,שא,יג-טו,"שו""ע או""ח","יב שבט תשע""ח"
29/01/18,יבמות,ב,א-ב,שא,טז-יח,"שו""ע או""ח","יג שבט תשע""ח"
30/01/18,יבמות,ב,ג-ד,שא,יט-כא,"שו""ע או""ח","יד שבט תשע""ח"
31/01/18,יבמות,ב,ה-ו,שא,כב-כד,"שו""ע או""ח","טו שבט תשע""ח"
01/02/18,יבמות,ב,ז-ח,שא,כה-כז,"שו""ע או""ח","טז שבט תשע""ח"
02/02/18,יבמות,ב,ט-י,שא,כח-ל,"שו""ע או""ח","יז שבט תשע""ח"
03/02/18,יבמות,ג,א-ב,שא,לא-לג,"שו""ע או""ח","יח שבט תשע""ח"
04/02/18,יבמות,ג,ג-ד,שא,לד-לו,"שו""ע או""ח","יט שבט תשע""ח"
05/02/18,יבמות,ג,ה-ו,שא,לז-לט,"שו""ע או""ח","כ שבט תשע""ח"
06/02/18,יבמות,ג,ז-ח,שא,מ-מב,"שו""ע או""ח","כא שבט תשע""ח"
07/02/18,יבמות,ג,ט-י,שא,מג-מה,"שו""ע או""ח","כב שבט תשע""ח"
08/02/18,יבמות,ד,א-ב,שא,מו-מח,"שו""ע או""ח","כג שבט תשע""ח"
09/02/18,יבמות,ד,ג-ד,שא,מט-נא,"שו""ע או""ח","כד שבט תשע""ח"
10/02/18,יבמות,ד,ה-ו,שב,א-ג,"שו""ע או""ח","כה שבט תשע""ח"
11/02/18,יבמות,ד,ז-ח,שב,ד-ו,"שו""ע או""ח","כו שבט תשע""ח"
12/02/18,יבמות,ד,ט-י,שב,ז-ט,"שו""ע או""ח","כז שבט תשע""ח"
13/02/18,יבמות,ד,יא-יב,שב,י-יב,"שו""ע או""ח","כח שבט תשע""ח"
14/02/18,יבמות,ד-ה,יג-א,שב-ג,יג-ב,"שו""ע או""ח","כט שבט תשע""ח"
